"Ano";"Mês";"Grupo Econômico";"Empresa";"CNPJ";"UF";"Tipo de Outorga";"Tipo de Atendimento";"Acessos"
2022;12;OUTROS;INFORMATICA ITAPIRANGA LTDA;938920000155;SC;Autorização;RURAL;148
2022;12;OUTROS;INFORMATICA ITAPIRANGA LTDA;938920000155;SC;Autorização;RURAL;706
2022;12;OUTROS;AUE PROVEDOR DE INTERNET LTDA;9177971000186;SP;Autorização;RURAL;22
2022;12;OUTROS;Gold Telecom Ltda;10822045000103;MG;Autorização;RURAL;3
2022;12;OUTROS;GEE TECNOLOGIA DA INFORMACAO & TELECOM LTDA;7246923000177;RS;Autorização;RURAL;6
2022;12;OUTROS;GEE TECNOLOGIA DA INFORMACAO & TELECOM LTDA;7246923000177;RS;Autorização;RURAL;6
2022;12;OUTROS;GTI TELECOMUNICAÇÕES LTDA;13045346000158;ES;Autorização;RURAL;22
2022;12;OUTROS;GOTO COMUNICACAO UNIFICADA DO BRASIL LTDA;7805990000184;SP;Autorização;RURAL;54
2022;12;OUTROS;GOTO COMUNICACAO UNIFICADA DO BRASIL LTDA;7805990000184;RO;Autorização;RURAL;22
2022;12;OUTROS;GOTO COMUNICACAO UNIFICADA DO BRASIL LTDA;7805990000184;SP;Autorização;RURAL;29
2022;12;OUTROS;GOTO COMUNICACAO UNIFICADA DO BRASIL LTDA;7805990000184;GO;Autorização;RURAL;2
2022;12;OUTROS;GEE TECNOLOGIA DA INFORMACAO & TELECOM LTDA;7246923000177;RS;Autorização;RURAL;4
2022;12;OUTROS;GOTO COMUNICACAO UNIFICADA DO BRASIL LTDA;7805990000184;SP;Autorização;RURAL;1
2022;12;OUTROS;GTI TELECOMUNICAÇÕES LTDA;13045346000158;ES;Autorização;RURAL;1
2022;12;OUTROS;GTI TELECOMUNICAÇÕES LTDA;13045346000158;ES;Autorização;RURAL;31
2022;12;OUTROS;ATHOSTEC SOLUÇÕES TECNOLÓGICAS LTDA;16822965000108;MG;Autorização;RURAL;1
2022;12;OUTROS;ATHOSTEC SOLUÇÕES TECNOLÓGICAS LTDA;16822965000108;GO;Autorização;RURAL;1
2022;12;OUTROS;ATHOSTEC SOLUÇÕES TECNOLÓGICAS LTDA;16822965000108;SC;Autorização;RURAL;1
2022;12;OUTROS;ATHOSTEC SOLUÇÕES TECNOLÓGICAS LTDA;16822965000108;SC;Autorização;RURAL;1
2022;12;OUTROS;ATHOSTEC SOLUÇÕES TECNOLÓGICAS LTDA;16822965000108;SC;Autorização;RURAL;7
2022;12;OUTROS;ATHOSTEC SOLUÇÕES TECNOLÓGICAS LTDA;16822965000108;SC;Autorização;RURAL;13
2022;12;OUTROS;ATHOSTEC SOLUÇÕES TECNOLÓGICAS LTDA;16822965000108;ES;Autorização;RURAL;1
2022;12;OUTROS;ATHOSTEC SOLUÇÕES TECNOLÓGICAS LTDA;16822965000108;RS;Autorização;RURAL;1
2022;12;OUTROS;ATHOSTEC SOLUÇÕES TECNOLÓGICAS LTDA;16822965000108;SC;Autorização;RURAL;1
2022;12;OUTROS;ATHOSTEC SOLUÇÕES TECNOLÓGICAS LTDA;16822965000108;PE;Autorização;RURAL;1
2022;12;OUTROS;ATHOSTEC SOLUÇÕES TECNOLÓGICAS LTDA;16822965000108;SP;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;BA;Autorização;RURAL;1
